;question
1;В последнее время я была в хорошем настроении.
2;Моя работа давит на меня.
3;Если у меня есть проблемы, я могу обратиться к кому-нибудь.
4;В последнее время я хорошо сплю.
5;Я редко скучаю в моей повседневной деятельности.
6;Я часто чувствую себя одинокой.
7;Я чувствую себя здоровой и бодрой.
8;Я испытываю большое удовольствие, находясь вместе с семьей или моими друзьями.
9;Иногда я становлюсь беспокойной по неизвестной причине.
10;Утром мне трудно вставать и работать.
11;Я оптимист в отношении будущего.
12;Я охотно меньше просила бы других о чем-либо.
13;Мне нравится моя повседневная деятельность.
14;В последнее время я чрезмерно реагирую на незначительные препятствия и неудачи.
15;В последнее время я чувствую себя в прекрасной форме.
16;Я все больше ощущаю потребность в уединении.
17;В последнее время я была очень рассеяна.
