;question
1;Иметь дело с некоторыми людьми может быть неприятно, но это никогда не бывает ужасно.
2;Когда я в чем-то ошибаюсь, то часто говорю себе: «Мне не следовало этого делать».
3;Люди, несомненно, должны жить по законам.
4;Не существует ничего такого, чего я «не выношу».
5;Если меня игнорируют или я чувствую себя неуклюжей на вечеринке, то у меня понижается чувство собственной ценности.
6;Некоторые ситуации в жизни действительно совершенно ужасны.
7;В некоторых вопросах я определенно должна быть более компетентной.
8;Моим родителям следовало бы быть более сдержанными в требованиях, предъявляемых ко мне.
9;Существуют вещи, которые я не могу вынести.
10;Мое чувство «собственной ценности» не повышается, даже если у меня есть действительно большие успехи в учебе или работе.
11;Некоторые дети ведут себя действительно ужасно.
12;Я не должна была совершать несколько очевидных ошибок в моей жизни.
13;Если мои друзья пообещали сделать для меня что-то очень важное, они не обязаны выполнять своих обещаний.
14;Я не могу иметь дело с моими друзьями или моими детьми, если они ведут себя глупо, дико или неправильно в той или иной ситуации.
15;Если оценивать людей по тому, что они делают, то их можно разделить на «хороших» и «плохих».
16;Бывают такие периоды в жизни, когда случаются действительно совершенно ужасные вещи.
17;В жизни нет ничего такого, что я действительно обязана делать.
18;Дети должны, в конце концов, научиться выполнять свои обязанности.
19;Иногда я просто не в состоянии вынести мои низкие достижения в учебе и на работе.
20;Даже когда я делаю серьезные ошибки и причиняю боль окружающим, мое самоуважение не меняется.
21;Это было бы ужасно, если бы я не смогла добиться расположения людей, которых я люблю.
22;Мне бы хотелось лучше учиться или работать, однако нет никаких оснований считать, что я должна добиваться этого во что бы то ни стало.
23;Я убеждена, что люди определенно не должны плохо себя вести в общественных местах.
24;Я просто не выношу сильного давления на меня или стресса.
25;Одобрение или неодобрение моих друзей или членов моей семьи не влияет на то, как я оцениваю саму себя.
26;Было бы жалко, но не ужасно, если бы кто-то из членов моей семьи имел бы серьезные проблемы со здоровьем.
27;Если я приняла решение сделать что-то, я обязательно должна сделать это очень хорошо.
28;В общем, я нормально отношусь к тому, что подростки ведут себя иначе, чем взрослые, например, поздно просыпаются по утрам или разбрасывают книжки или одежду на полу в своей комнате.
29;Я не выношу некоторых вещей, которые делают мои друзья или члены моей семьи.
30;Тот, кто постоянно грешит или приносит зло окружающим, – плохой человек.
31;Было бы ужасно, если бы кто-то из тех, кого я люблю, заболел психическим заболеванием и оказался бы в психиатрической больнице.
32;Я должна быть абсолютно уверена, что всё идет хорошо в наиболее важных сферах моей жизни.
33;Если для меня это важно, мои друзья должны стремиться сделать всё, о чем я их попрошу.
34;Я легко переношу неприятные ситуации, в которые попадаю, так же как неприятное общение со знакомыми.
35;От того, как меня оценивают окружающие (друзья, начальники, учителя, преподаватели), зависит, как я оцениваю саму себя.
36;Это ужасно, когда мои друзья ведут себя плохо и неправильно в общественных местах.
37;Я точно не должна делать некоторые ошибки, которые я продолжаю делать.
38;Я не считаю, что члены моей семьи должны действовать именно так, как мне хочется.
39;Это совершенно невыносимо, когда всё идет не так, как мне хочется.
40;Я часто оцениваю себя по своим успехам на работе и в учебе или же по своим социальным достижениям.
41;Это будет ужасно, если я потерплю полный крах в работе или учебе.
42;Я как человек не должна быть лучше, чем я есть на самом деле.
43;Определенно существуют некоторые вещи, которые окружающие люди не должны делать.
44;Иногда (на работе или в учебе) люди совершают поступки, которых я совершенно не выношу.
45;Если у меня возникают серьезные эмоциональные проблемы или я нарушаю законы, мое чувство собственной ценности понижается.
46;Даже очень плохие, отвратительные ситуации, в которых человек терпит неудачу, лишается денег или работы, не являются ужасными.
47;Есть несколько существенных причин, почему я не должна делать ошибок в школе или на работе.
48;Несомненно, что члены моей семьи должны лучше обо мне заботиться, чем они это иногда делают.
49;Даже если мои друзья ведут себя иначе, чем я от них ожидаю, я продолжаю относиться к ним с пониманием и принятием.
50;Важно учить детей тому, чтобы они были «хорошими мальчиками» и «хорошими девочками»: прилежно учились в школе и зарабатывали одобрение своих родителей.
