;question
1;Даже если я отвратительно себя чувствую, я слежу за тем, чтобы не испортить настроение другим.
2;В присутствии авторитетной персоны (начальства) я всегда смущаюсь.
3;Я – довольно независимый человек.
4;В спорах с близкими мне людьми я склонен к тому, чтобы поддаваться и не вступать в пререкания.
5;Если вблизи моего рабочего места появляется мой начальник, то я чувствую себя неловко.
6;Я легко выбираю ту линию поведения, которая дает мне наибольшие шансы достичь своих целей.
7;Мне приходится отказываться от многого, поскольку обстоятельства сильнее меня.
8;Я чувствую себя неловко, если другие предлагают мне свою помощь.
9;Я могу сказать, что в целом я контролирую свою судьбу.
10;Мне трудно открыто говорить о своих чувствах.
11;Я вынужден бороться со своей робостью.
12;Есть много вещей, которыми я могу гордиться.
13;Мне приходится скрывать свои чувства.
14;Если пауза в разговоре затянулась, то я…
15;Я принимаю решения быстро, без долгих сомнений
16;Мне легко удается потребовать чего-либо.
17;Я стесняюсь обращаться с моими служебными проблемами к начальству или сведущему человеку.
18;Я уверен, что на меня можно положиться в самых ответственных делах.
19;Если мне срочно нужен мой друг, то я звоню ему даже поздно ночью.
20;Часто я не решаюсь звонить в официальные учреждения.
21;Обычно я добиваюсь того, что мне нужно.
22;Если близкий и уважаемый мною родственник чем-то разозлит меня, то я…
23;Мне очень трудно начать разговор с незнакомым человеком.
24;У меня достаточно способностей и энергии, чтобы воплотить в жизнь задуманное.
25;Я избегаю говорить что-либо, что может обидеть других.
26;Если кто-либо смотрит, как я работаю, то…
27;Бывает, что мне приходят в голову мысли о моей неполноценности.
28;Я стараюсь не обременять друзей своими проблемами.
29;Я смущаюсь, если мне говорят комплимент.
30;Я вполне могу сказать, что уважаю сам себя.
