;question
1;Часто ли у вас бывают спады и подъемы настроения?
2;Обращаете ли вы внимание на мнения других людей?
3;Вы разговорчивый человек?
4;Всегда ли вы сдерживаете свои обещания, даже если это вам невыгодно?
5;Возникало ли у вас когда-нибудь чувство, что вы несчастны, хотя никакой серьезной причины для этого не было?
6;Вас беспокоило бы то, что вы залезли в долги?
7;Считают ли вас живым и весёлым человеком?
8;Вам случалось когда-нибудь пожадничать, чтобы получить больше, чем вам полагалось?
9;Раздражительны ли вы?
10;Стали бы вы принимать средства, которые могут привести вас в необычное или опасное состояние (алкоголь, наркотики)?
11;Вам нравится знакомиться с новыми людьми?
12;Вы когда-нибудь обвиняли кого-нибудь в том, в чем на самом деле были виноваты вы сами?
13;Верно ли, что вас легко задеть?
14;Вы скорее сделаете всё по-своему, чем будете следовать правилам?
15;Способны ли вы иногда дать волю своим чувствам и беззаботно развлечься с веселой компанией?
16;Считаете ли вы все свои привычки хорошими?
17;Часто ли вам что-то так надоедает, что вы чувствуете себя «сытой по горло»?
18;Для вас много значат хорошие манеры и чистоплотность?
19;При знакомстве вы обычно первой проявляете инициативу?
20;Вам случалось брать вещи, принадлежащие другому лицу, будь это даже такая мелочь, как булавка или пуговица?
21;Можете ли вы назвать себя нервным человеком?
22;Считаете ли вы, что брак старомоден, и его следует отменить?
23;Сумели бы вы внести оживление в скучную компанию?
24;Вам случалось сломать или потерять чужую вещь?
25;Вы беспокойный человек?
26;Вам нравится сотрудничать с другими людьми?
27;Держитесь ли вы обычно в тени на вечеринках или в компании?
28;Вы переживаете, если узнаете, что допустили ошибки в своей работе?
29;Вы когда-нибудь говорили что-то плохое или неприятное о другом человеке?
30;Можно ли сказать, что нервы у вас часто бывают натянуты до предела?
31;Считаете ли вы, что люди затрачивают слишком много времени, чтобы обеспечить свое будущее, откладывая сбережения, страхуя себя и свою жизнь?
32;Нравится ли вам находиться среди людей?
33;Вы дерзили когда-нибудь своим родителям в детстве?
34;Долго ли вы переживаете после случившегося конфуза?
35;Вы стараетесь не грубить людям?
36;Нравится ли вам оживление и суета вокруг вас?
37;Вы когда-нибудь жульничали в игре?
38;Беспокоят ли вас ваши нервы?
39;Хотели бы вы, чтобы люди боялись вас?
40;Вы когда-нибудь воспользовались оплошностью другого человека в своих целях?
41;Вы больше молчите, находясь в обществе других людей?
42;Вы часто испытываете чувство одиночества?
43;Лучше ли следовать установленным в обществе правилам, чем делать всё по-своему?
44;Считают ли вас другие люди очень оживленной?
45;Всегда ли вы сами поступаете так, как советуете поступать другим?
46;Часто ли у вас появляется чувство, что вы в чем-то виноваты?
47;Откладываете ли вы иногда на завтра то, что должны сделать сегодня?
48;Могли бы вы устроить вечеринку?
