;question
1;Другие люди мне кажутся более уверенными, чем я.
2;Меня легко обидеть критикой.
3;Необходимость отвечать за что-то заставляет меня волноваться.
4;Я чувствую себя гораздо комфортнее, когда кто-то другой берет на себя ответственность.
5;Другие не понимают, насколько их слова могут меня обидеть.
6;Для меня важно, чтобы другие люди любили меня.
7;Я бы предпочла уступить и сохранить мирные отношения с партнером, чем отстаивать свое мнение и выиграть в споре.
8;Я счастлива, когда руководит кто-то другой.
9;Когда я спорю с кем-либо, меня волнует, что наши отношения могут надолго испортиться.
10;Я иногда соглашаюсь с тем, во что я в действительности не верю, ради того чтобы понравиться другим.
11;Другие люди хотят слишком многого от меня.
12;Когда кто-то приближается ко мне слишком близко, я стремлюсь отдалиться.
13;Время от времени мне необходимо отдаляться от всего окружающего.
14;Я бы хотела иметь больше времени для самой себя.
15;Я предпочитаю принимать решения самостоятельно, не опираясь на мнение других людей.
16;Я не люблю открывать о себе слишком много частной информации.
17;Я иногда опасаюсь мотивов других людей.
18;Я счастлива, когда я работаю самостоятельно.
19;Для меня очень важно быть независимой и самодостаточной.
20;Когда дела идут не очень хорошо, я стараюсь спрятать свои чувства и быть сильной.
21;Я верю, что большинство людей в глубине души хорошие и имеют добрые намерения.
22;Я способна поделиться своими сокровенными мыслями и чувствами с людьми, которых я хорошо знаю.
23;Я спокойно себя чувствую, когда прошу у других помощь.
24;Я не волнуюсь о том, как меня воспринимают другие люди.
25;Я часто иду на компромиссы с людьми, которые ориентированы на сотрудничество.
26;Мои отношения с другими именно такие, какими я и хотела бы их видеть – даже если бы я могла, я не стала бы ничего менять.
27;Я воспринимаю себя как человека, способного хорошо справляться с разочарованиями и препятствиями.
28;В отношениях с другими мне удобно и предлагать помощь людям, которые в ней нуждаются, и просить у других поддержку, когда я в ней нуждаюсь.
29;Когда я ссорюсь с кем-либо, я уверена, что наши отношения восстановятся.
30;Мне легко доверять людям.
