;question
1;Позволяю себе поделиться чувством с другом.
2;Стараюсь все сделать так, чтобы иметь возможность наилучшим образом решить проблему.
3;Осуществляю поиск всех возможных решений, прежде чем что-то предпринять.
4;Пытаюсь отвлечься от проблемы.
5;Принимаю сочувствие и понимание от кого-либо.
6;Делаю все возможное, чтобы не дать окружающим увидеть, что мои дела плохи.
7;Обсуждаю ситуацию с людьми, так как обсуждение помогает мне чувствовать себя лучше.
8;Ставлю для себя ряд целей, позволяющих постепенно справляться с ситуацией.
9;Очень тщательно взвешиваю возможности выбора.
10;Мечтаю, фантазирую о лучших временах.
11;Пытаюсь различными способами решать проблему, пока не найду подходящий.
12;Доверяю свои страхи родственнику или другу.
13;Больше времени, чем обычно, провожу один.
14;Рассказываю другим людям о ситуации, так как только ее обсуждение помогает мне прийти к ее разрешению.
15;Думаю о том, что нужно сделать, чтобы исправить положение.
16;Сосредотачиваюсь полностью на решении проблемы.
17;Обдумываю про себя план действий.
18;Смотрю телевизор дольше, чем обычно.
19;Иду к кому-нибудь (другу или специалисту), чтобы он помог мне чувствовать себя лучше.
20;Стою твердо и борюсь за то, что мне нужно в этой ситуации.
21;Избегаю общения с людьми.
22;Переключаюсь на хобби или занимаюсь спортом, чтобы избежать проблем.
23;Иду к другу за советом – как исправить ситуацию.
24;Иду к другу, чтобы он помог мне лучше почувствовать проблему.
25;Принимаю сочувствие, взаимопонимание друзей.
26;Сплю больше обычного.
27;Фантазирую о том, что все могло бы быть иначе.
28;Представляю себя героем книги или кино.
29;Пытаюсь решить проблему.
30;Хочу, чтобы люди оставили меня одного.
31;Принимаю помощь от друзей или родственников.
32;Ищу успокоения у тех, кто знает меня лучше.
33;Пытаюсь тщательно планировать свои действия, а не действовать импульсивно под влиянием внешнего побуждения.
